Time,Open,High,Low,Latest,Change,%Change,Volume
2026-02-20,32.95,33.77,32.95,33.77,0.6188,+1.87%,29700
2026-02-19,32.75,33.17,32.75,33.1512,0.0112,+0.03%,64200
2026-02-18,32.89,33.53,32.89,33.14,0.55,+1.69%,23900
2026-02-17,32.68,32.78,32.03,32.59,-0.75,-2.25%,23500
2026-02-13,33.35,33.67,32.93,33.34,0.12,+0.36%,35500
2026-02-12,34.12,34.22,32.79,33.22,-0.8,-2.35%,51100
2026-02-11,34.31,34.31,33.48,34.02,0.29,+0.86%,56600
2026-02-10,34.1,34.1,33.62,33.73,0.07,+0.21%,31800
2026-02-09,33.2,34,33.07,33.66,0.46,+1.39%,34600
2026-02-06,32.29,34.26,32.29,33.2,1.5741,+4.98%,63100
2026-02-05,31.92,32.02,31.5,31.6259,-0.8941,-2.75%,39100
2026-02-04,32.9,32.97,32.08,32.52,0.01,+0.03%,65600
2026-02-03,33.12,33.12,32.09,32.51,0.3679,+1.14%,142100
2026-02-02,31.6,32.23,31.6,32.1421,-0.2679,-0.83%,60100
2026-01-30,33.64,33.64,31.54,32.41,-2.2386,-6.46%,126300
2026-01-29,34.79,35.58,33.21,34.6486,0.0986,+0.29%,44600
2026-01-28,34.09,34.67,33.95,34.55,0.7777,+2.30%,28300
2026-01-27,33.04,33.7723,33,33.7723,0.6723,+2.03%,44100
2026-01-26,33.01,33.33,32.88,33.1,0.5012,+1.54%,54800
2026-01-23,32.34,32.64,32.215,32.5988,0.3044,+0.94%,30200
2026-01-22,31.95,32.54,31.91,32.2944,0.484,+1.52%,45300
2026-01-21,31.16,31.94,31.16,31.8104,0.65,+2.09%,16600
2026-01-20,30.75,31.3,30.75,31.1604,0.1259,+0.41%,107700
2026-01-16,31.29,31.29,30.7244,31.0345,-0.4955,-1.57%,26400
2026-01-15,31.45,31.6,31.395,31.53,-0.05,-0.16%,5700
2026-01-14,31.63,31.7499,31.3,31.58,0.18,+0.57%,27600
2026-01-13,31.58,31.58,31.32,31.4,-0.03,-0.10%,19200
2026-01-12,31.42,31.57,31.28,31.43,0.46,+1.49%,36100
2026-01-09,30.76,31,30.76,30.97,0.57,+1.88%,42200
2026-01-08,30.22,30.4,30.14,30.4,-0.0518,-0.17%,10900
2026-01-07,30.395,30.57,30.36,30.4518,-0.2952,-0.96%,11900
2026-01-06,30.57,30.81,30.4501,30.747,0.6308,+2.09%,14100
2026-01-05,29.7,30.34,29.7,30.1162,0.9712,+3.33%,180100
2026-01-02,29.38,29.38,28.8835,29.145,0.305,+1.06%,35100
2025-12-31,29.5,29.5,28.7899,28.84,-0.63,-2.14%,22000
2025-12-30,29.34,29.62,29.1801,29.47,0.221,+0.76%,16000
2025-12-29,29.99,29.99,28.9018,29.249,-0.7167,-2.39%,25800
2025-12-26,30,30.5,29.8601,29.9657,0.3718,+1.26%,57900
2025-12-24,30,30,29.35,29.5939,-3.8197,-11.43%,50300
2025-12-23,32.597,33.654,32.52,33.4136,0.8475,+2.60%,62100
2025-12-22,32.27,32.69,32.2648,32.5661,0.7001,+2.20%,19300
2025-12-19,31.73,32.07,31.73,31.866,0.246,+0.78%,25700
2025-12-18,31.64,31.92,31.4,31.62,0.12,+0.38%,18700
2025-12-17,31.74,31.74,31.48,31.5,-0.299,-0.94%,9500
2025-12-16,31.68,31.94,31.425,31.799,-0.1042,-0.33%,6700
2025-12-15,32.07,32.08,31.84,31.9032,-0.0968,-0.30%,7900
2025-12-12,32.43,32.49,31.86,32,-0.39,-1.20%,11300
2025-12-11,32.01,32.45,32.01,32.39,0.31,+0.97%,9000
