Year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year), Baa Corporate Bond,Real Estate,Gold*,S&P 500 (includes dividends)3,US Small cap (bottom decile) Cum Value,3-month T.Bill4,US T. Bond5, Baa Corporate Bond2,Real Estate2,Gold2,Stocks - Bills,Stocks - Bonds,Small Cap Premium (S&P 500 minus Bottom Decile),Stocks - Baa Corp Bond,Historical ERP,Inflation Rate,S&P 500 (includes dividends)2,US Small cap (bottom decile)22,3-month T. Bill (Real),!0-year T.Bonds,Baa Corp Bonds,Real Estate3,Gold,S&P 500 (includes dividends)3,US Small cap (bottom decile)22,3-month T.Bill4,US T. Bond5, Baa Corporate Bond2,Real Estate2,Gold2,Stocks minus T. Bills,Stocks minus T.Bonds
1928,43.81%,62.15%,3.08%,0.84%,3.22%,1.49%,0.10%, $ 143.81 , $ 159.91 , $ 103.08 , $ 100.84 , $ 103.22 , $ 101.49 , $ 100.10 ,40.73%,42.98%,18.34%,40.59%,,-1.16%,45.49%,64.05%,4.29%,2.01%,4.43%,2.68%,1.27%, $ 145.49 , $ 164.05 , $ 104.29 , $ 102.01 , $ 104.43 , $ 102.68 , $ 101.27 ,41.21%,43.48%
1929,-8.30%,-46.08%,3.16%,4.20%,3.02%,-2.06%,-0.15%, $ 131.88 , $ 86.22 , $ 106.34 , $ 105.07 , $ 106.33 , $ 99.40 , $ 99.95 ,-11.46%,-12.50%,-37.78%,-11.32%,,0.58%,-8.83%,-46.39%,2.56%,3.60%,2.42%,-2.63%,-0.73%, $ 132.64 , $ 87.94 , $ 106.96 , $ 105.69 , $ 106.95 , $ 99.98 , $ 100.53 ,-11.39%,-12.43%
1930,-25.12%,-48.35%,4.55%,4.54%,0.54%,-4.30%,0.10%, $ 98.75 , $ 44.53 , $ 111.18 , $ 109.85 , $ 106.91 , $ 95.13 , $ 100.05 ,-29.67%,-29.66%,-23.23%,-25.66%,,-6.40%,-20.01%,-44.82%,11.69%,11.68%,7.41%,2.24%,6.94%, $ 106.11 , $ 48.52 , $ 119.46 , $ 118.03 , $ 114.88 , $ 102.22 , $ 107.51 ,-31.70%,-31.69%
1931,-43.84%,-43.62%,2.31%,-2.56%,-15.68%,-8.15%,-17.38%, $ 55.46 , $ 25.11 , $ 113.74 , $ 107.03 , $ 90.14 , $ 87.38 , $ 82.66 ,-46.15%,-41.28%,0.22%,-28.16%,,-9.32%,-38.07%,-37.83%,12.82%,7.45%,-7.02%,1.29%,-8.90%, $ 65.71 , $ 30.17 , $ 134.78 , $ 126.83 , $ 106.82 , $ 103.53 , $ 97.94 ,-50.89%,-45.52%
1932,-8.64%,28.65%,1.07%,8.79%,23.59%,-10.47%,21.28%, $ 50.66 , $ 32.30 , $ 114.96 , $ 116.44 , $ 111.41 , $ 78.23 , $ 100.24 ,-9.71%,-17.43%,37.29%,-32.23%,,-10.27%,1.82%,43.38%,12.64%,21.25%,37.74%,-0.21%,35.16%, $ 66.91 , $ 43.26 , $ 151.82 , $ 153.78 , $ 147.13 , $ 103.31 , $ 132.38 ,-10.82%,-19.43%
1933,49.98%,146.60%,0.96%,1.86%,12.97%,-3.81%,27.26%, $ 75.99 , $ 79.66 , $ 116.06 , $ 118.60 , $ 125.86 , $ 75.25 , $ 127.57 ,49.02%,48.13%,96.62%,37.02%,,0.76%,48.85%,144.73%,0.20%,1.08%,12.11%,-4.54%,26.30%, $ 99.59 , $ 105.86 , $ 152.11 , $ 155.44 , $ 164.95 , $ 98.62 , $ 167.19 ,48.65%,47.76%
1934,-1.19%,23.07%,0.28%,7.96%,18.82%,2.91%,31.75%, $ 75.09 , $ 98.03 , $ 116.39 , $ 128.05 , $ 149.54 , $ 77.44 , $ 168.07 ,-1.47%,-9.15%,24.26%,-20.00%,,1.52%,-2.66%,21.23%,-1.22%,6.35%,17.04%,1.37%,29.78%, $ 96.94 , $ 128.34 , $ 150.26 , $ 165.32 , $ 193.06 , $ 99.97 , $ 216.99 ,-1.45%,-9.02%
1935,46.74%,54.90%,0.17%,4.47%,13.31%,9.77%,0.43%, $ 110.18 , $ 151.85 , $ 116.58 , $ 133.78 , $ 169.44 , $ 85.00 , $ 168.80 ,46.57%,42.27%,8.16%,33.43%,,2.99%,42.49%,50.41%,-2.74%,1.44%,10.02%,6.58%,-2.48%, $ 138.12 , $ 193.03 , $ 146.15 , $ 167.70 , $ 212.41 , $ 106.55 , $ 211.61 ,45.22%,41.04%
1936,31.94%,96.41%,0.17%,5.02%,11.38%,3.22%,0.09%, $ 145.38 , $ 298.26 , $ 116.78 , $ 140.49 , $ 188.73 , $ 87.73 , $ 168.94 ,31.77%,26.93%,64.47%,20.56%,,1.45%,30.06%,93.60%,-1.26%,3.52%,9.79%,1.74%,-1.34%, $ 179.64 , $ 373.72 , $ 144.31 , $ 173.60 , $ 233.21 , $ 108.41 , $ 208.77 ,31.32%,26.54%
1937,-35.34%,-53.94%,0.28%,1.38%,-4.42%,2.56%,-0.23%, $ 94.00 , $ 137.38 , $ 117.11 , $ 142.43 , $ 180.39 , $ 89.98 , $ 168.56 ,-35.61%,-36.72%,-18.60%,-30.92%,,2.86%,-37.13%,-55.22%,-2.51%,-1.44%,-7.07%,-0.29%,-3.00%, $ 112.94 , $ 167.36 , $ 140.69 , $ 171.11 , $ 216.72 , $ 108.10 , $ 202.50 ,-34.62%,-35.70%
1938,29.28%,5.16%,0.07%,4.21%,9.24%,-0.87%,0.17%, $ 121.53 , $ 144.47 , $ 117.18 , $ 148.43 , $ 197.05 , $ 89.20 , $ 168.85 ,29.22%,25.07%,-24.12%,20.05%,,-2.78%,32.98%,8.16%,2.92%,7.19%,12.36%,1.96%,3.03%, $ 150.18 , $ 181.02 , $ 144.80 , $ 183.41 , $ 243.50 , $ 110.22 , $ 208.65 ,30.05%,25.79%
1939,-1.10%,-4.86%,0.05%,4.41%,7.98%,-1.30%,-1.23%, $ 120.20 , $ 137.44 , $ 117.24 , $ 154.98 , $ 212.78 , $ 88.04 , $ 166.76 ,-1.14%,-5.51%,-3.76%,-9.08%,,0.00%,-1.10%,-4.86%,0.05%,4.41%,7.98%,-1.30%,-1.23%, $ 148.53 , $ 172.22 , $ 144.87 , $ 191.51 , $ 262.94 , $ 108.79 , $ 206.07 ,-1.14%,-5.51%
1940,-10.67%,-32.88%,0.04%,5.40%,8.65%,3.31%,-1.66%, $ 107.37 , $ 92.25 , $ 117.28 , $ 163.35 , $ 231.18 , $ 90.95 , $ 164.00 ,-10.71%,-16.08%,-22.21%,-19.32%,,0.71%,-11.31%,-33.36%,-0.67%,4.65%,7.88%,2.57%,-2.35%, $ 131.74 , $ 114.78 , $ 143.89 , $ 200.42 , $ 283.65 , $ 111.59 , $ 201.22 ,-10.63%,-15.96%
